,tag,center,arch_type,eng_type,block,zone,cut,demo,projmask,blob2,demo-2,cut_mask,blob-mask
mfb_sw_panel_0_54_1,A-0,3663,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_54_2,A-0,3814,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_55_1,A-0,3665,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_55_2,A-0,3816,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_56_1,A-0,3667,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_56_2,A-0,3818,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_57_1,A-0,3669,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_57_2,A-0,3820,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_58_1,A-0,3671,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_58_2,A-0,3822,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_59_1,A-0,3673,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_59_2,A-0,3824,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_60_1,A-0,3675,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_60_2,A-0,3826,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_61_1,A-0,3677,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_61_2,A-0,3828,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_62_1,A-0,3679,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_62_2,A-0,3830,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_63_1,A-0,3681,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_63_2,A-0,3832,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_64_1,A-0,3683,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_64_2,A-0,3834,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_65_1,A-0,3685,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_65_2,A-0,3836,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_66_1,A-0,3687,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_66_2,A-0,3838,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_67_1,A-0,3689,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_67_2,A-0,3840,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_68_1,A-0,3691,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_68_2,A-0,3842,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_69_1,A-0,3693,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_69_2,A-0,3844,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_70_1,A-0,3695,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_70_2,A-0,3846,A,0,SW,L2,0,2,2,2,2,0,2
mfb_sw_panel_0_71_1,A-0,3697,A,0,SW,L2,0,2,2,2,2,0,2
